timesteps,PQ,model
1,12.5365,CBP20
2,12.5365,CBP20
3,12.5365,CBP20
4,12.5365,CBP20
5,12.5365,CBP20
6,12.5363,CBP20
7,12.5309,CBP20
8,12.5375,CBP20
9,12.641,CBP20
10,15.949,CBP20
11,24.8891,CBP20
12,31.9052,CBP20
13,36.2554,CBP20
14,38.6746,CBP20
15,39.9684,CBP20
16,40.722,CBP20
17,41.1368,CBP20
18,41.3719,CBP20
19,41.507,CBP20
20,41.5939,CBP20
21,41.6325,CBP20
22,41.6331,CBP20
23,41.6385,CBP20
24,41.6192,CBP20
25,41.6076,CBP20
26,41.5932,CBP20
27,41.5942,CBP20
28,41.5799,CBP20
29,41.5719,CBP20
30,41.5562,CBP20
1,41.0044,BPTT1
2,31.3181,BPTT1
3,22.5942,BPTT1
4,18.9282,BPTT1
5,16.8052,BPTT1
6,15.5634,BPTT1
7,14.7799,BPTT1
8,14.2078,BPTT1
9,13.7801,BPTT1
10,13.4862,BPTT1
11,13.3283,BPTT1
12,13.1888,BPTT1
13,13.0741,BPTT1
14,12.9721,BPTT1
15,12.9264,BPTT1
16,12.8938,BPTT1
17,12.8611,BPTT1
18,12.8317,BPTT1
19,12.8131,BPTT1
20,12.8003,BPTT1
21,12.7831,BPTT1
22,12.7675,BPTT1
23,12.7552,BPTT1
24,12.7511,BPTT1
25,12.7428,BPTT1
26,12.7408,BPTT1
27,12.7357,BPTT1
28,12.7338,BPTT1
29,12.7316,BPTT1
30,12.7254,BPTT1
1,12.5717,BPTT3
2,41.0577,BPTT3
3,41.5451,BPTT3
4,41.3578,BPTT3
5,40.8414,BPTT3
6,40.4358,BPTT3
7,39.9381,BPTT3
8,39.4856,BPTT3
9,38.902,BPTT3
10,38.3537,BPTT3
11,37.7778,BPTT3
12,37.179,BPTT3
13,36.5663,BPTT3
14,35.8593,BPTT3
15,35.2035,BPTT3
16,34.5577,BPTT3
17,33.9461,BPTT3
18,33.3158,BPTT3
19,32.6861,BPTT3
20,32.1062,BPTT3
21,31.5355,BPTT3
22,31.0315,BPTT3
23,30.4143,BPTT3
24,29.9076,BPTT3
25,29.3541,BPTT3
26,28.9082,BPTT3
27,28.4339,BPTT3
28,27.9618,BPTT3
29,27.5393,BPTT3
30,27.1526,BPTT3
1,12.8867,BPTT5
2,37.8519,BPTT5
3,41.2907,BPTT5
4,41.4935,BPTT5
5,41.5386,BPTT5
6,41.3298,BPTT5
7,41.0857,BPTT5
8,40.7944,BPTT5
9,40.5355,BPTT5
10,40.2366,BPTT5
11,39.9097,BPTT5
12,39.5798,BPTT5
13,39.252,BPTT5
14,38.8895,BPTT5
15,38.6175,BPTT5
16,38.2761,BPTT5
17,37.9318,BPTT5
18,37.5972,BPTT5
19,37.2471,BPTT5
20,36.8169,BPTT5
21,36.3975,BPTT5
22,36.0033,BPTT5
23,35.5872,BPTT5
24,35.1452,BPTT5
25,34.6766,BPTT5
26,34.2673,BPTT5
27,33.8215,BPTT5
28,33.364,BPTT5
29,32.888,BPTT5
30,32.3892,BPTT5
